;Unnamed: 0;Stock;Description;Model;Loss;MSE;RMSE;MAE;MAPE;R²
14;14;BBDC4;Stock Data + IFR + MMS + MME;model_1;0.0003495875862427;0.0005234335284184;0.0228786697257179;0.0166369754513849;3.300.321.943.095.090;0.9698454313314658
15;15;ITUB4;Stock Data + IFR + MMS + MME;model_1;0.0001992997422348;0.000451145969157;0.0212401970131399;0.0152232365557216;25.793.357.929.205.600;0.9704726828113636
16;16;PETR4;Google News + Twitter + IFR + MMS;model_1;0.0001688826014287;0.0003134573462349;0.0177047266636598;0.011756600872658;2.836.247.836.680.910;0.968937451617139
17;17;VALE3;Google News + Twitter + IFR + MMS;model_1;9,00E+10;0.0027834242457694;0.0527581675740302;0.0363635202807769;5.110.680.873.096.460;0.9250126431044624
18;18;BBDC4;Google News + Twitter + IFR + MMS;model_1;0.0003794129006564;0.0005806624874609;0.0240969393795351;0.0170722022799882;34.049.153.309.319.600;0.9665485187693488
19;19;ITUB4;Google News + Twitter + IFR + MMS;model_1;0.000223251467105;0.0005442740726311;0.0233296822231072;0.0163162739506865;27.670.088.466.237.300;0.9643774869358556
20;20;PETR4;Google News + Twitter + IFR + MME;model_1;0.0001893203734653;0.0003566673627068;0.0188856390600594;0.0122194632520442;30.010.761.448.928;0.9646554871221104
21;21;VALE3;Google News + Twitter + IFR + MME;model_1;0.0001111891178879;0.0013964682498475;0.0373693490690905;0.0271075819951091;4.265.462.068.733.740;0.9623781882320795
22;22;BBDC4;Google News + Twitter + IFR + MME;model_1;0.0003600697382353;0.0005516095976148;0.0234863704649061;0.0170567227595094;33.836.639.184.261.700;0.9682222315032905
23;23;ITUB4;Google News + Twitter + IFR + MME;model_1;0.0001957513886736;0.0004948398730701;0.0222449965850772;0.0156919018415542;2.673.597.496.865.740;0.9676129348622404
24;24;PETR4;Google News + Twitter + IFR + MME + MMS;model_1;0.0001890241692308;0.0003520225845354;0.0187622649095328;0.0121938907014032;2.998.524.575.526.740;0.9651157687151516
25;25;VALE3;Google News + Twitter + IFR + MME + MMS;model_1;0.0001171775875263;0.0016101437101221;0.0401265960445453;0.030338097944828;4.745.378.473.551.460;0.9566216248825355
26;26;BBDC4;Google News + Twitter + IFR + MME + MMS;model_1;0.0003589338157325;0.0005523234354321;0.0235015624040647;0.0169380525232298;3.378.884.740.552.400;0.9681811079024656
27;27;ITUB4;Google News + Twitter + IFR + MME + MMS;model_1;0.0002094155352097;0.0004978923596677;0.0223135017347726;0.0157238131177798;26.642.229.358.426.300;0.9674131508762506
28;0;PETR4;Stock Data;model_2;0.0002405793638899;0.0002938532448284;0.0171421481975981;0.0115506908614909;27.230.613.123.433.100;0.9708801508575814
29;1;VALE3;Stock Data;model_2;0.0001131344979512;0.0003292461400751;0.0181451409494427;0.0133990850593803;23.352.229.820.941.900;0.9911298833263316
30;2;BBDC4;Stock Data;model_2;0.000403692596592;0.0004943373715077;0.0222336990064117;0.0160288876343043;31.673.564.982.977.600;0.9715216366448838
31;3;ITUB4;Stock Data;model_2;0.0002787712728604;0.0003843670665364;0.0196052815979902;0.0143150657009981;24.170.047.159.077.100;0.9748433343831135
32;4;PETR4;Stock Data + Google News;model_2;0.000241492234636;0.0003118204403893;0.017658438220561;0.0118226664653873;2.797.333.895.800.060;0.9690996633746106
33;5;VALE3;Stock Data + Google News;model_2;0.0001287854247493;0.0003741021541228;0.0193417205574599;0.014564258661911;2.526.595.115.446.550;0.9899214315642904
34;6;BBDC4;Stock Data + Google News;model_2;0.0004775380075443;0.00055575943068;0.0235745504873388;0.0172020055471239;33.924.102.826.038.400;0.9679831630842156
35;7;ITUB4;Stock Data + Google News;model_2;0.0003539856697898;0.0004100200569301;0.0202489519958483;0.0146974694642127;24.702.627.762.243.800;0.973164356766165
36;8;PETR4;Stock Data + Twitter;model_2;0.0002520806447137;0.0003018191540277;0.0173729431596305;0.011596501958612;2.746.618.739.042.650;0.9700907565655348
37;9;VALE3;Stock Data + Twitter;model_2;0.0001231566566275;0.0003623233263494;0.019034792521839;0.0142597090935152;2.516.826.551.123.840;0.9902387612575264
38;10;BBDC4;Stock Data + Twitter;model_2;0.0004021052736788;0.0005145183811053;0.0226829976216837;0.0163190398817448;32.187.662.964.403.100;0.970359025526812
39;11;ITUB4;Stock Data + Twitter;model_2;0.0002630728995427;0.0003939543974409;0.0198482844961708;0.0145145936292706;24.460.659.024.258.100;0.9742158475385856
40;12;PETR4;Stock Data + IFR + MMS + MME;model_2;0.0002157999988412;0.000300080888047;0.017322842955101;0.0114109411139857;271.475.449.015.906;0.9702630127649032
41;13;VALE3;Stock Data + IFR + MMS + MME;model_2;0.0001270213542738;0.0004250371847226;0.0206164299703562;0.0153137238831814;26.061.105.307.650.100;0.9885492069298772
42;14;BBDC4;Stock Data + IFR + MMS + MME;model_2;0.0004869046679232;0.0004999708240237;0.0223600273708185;0.0161681765614376;31.860.219.299.342.700;0.9711970981476098
43;15;ITUB4;Stock Data + IFR + MMS + MME;model_2;0.0002330610732315;0.0003821178553219;0.0195478350546037;0.0142628739894853;24.095.575.572.087.600;0.9749905443273336
44;16;PETR4;Google News + Twitter + IFR + MMS;model_2;0.0002671039837878;0.000339256395856;0.0184189140791746;0.0119196960745098;2.948.544.525.373.300;0.9663808542468318
45;17;VALE3;Google News + Twitter + IFR + MMS;model_2;0.0001215988086187;0.0005188597915114;0.0227784940571469;0.0171930383972523;2.969.700.867.813.050;0.9860215615984692
46;18;BBDC4;Google News + Twitter + IFR + MMS;model_2;0.000512872938998;0.0005127765354906;0.0226445696689208;0.0163535821937513;3.262.081.450.948.380;0.9704593717987772
47;19;ITUB4;Google News + Twitter + IFR + MMS;model_2;0.0003029215440619;0.000411643834841;0.0202890077342648;0.0145959249314854;2.465.871.734.412.440;0.9730580811731276
48;20;PETR4;Google News + Twitter + IFR + MME;model_2;0.0002204841148341;0.0003017566447114;0.017371144024255;0.0118473215872475;2.826.521.481.410.340;0.9700969510244828
49;21;VALE3;Google News + Twitter + IFR + MME;model_2;0.0001118082000175;0.0004774979966586;0.021851727544034;0.0168125320961625;28.764.493.205.750.200;0.9871358767005166
